category,header,link
ยาเสพติด,ป.ป.ส.ลุยเอาผิดคนแพร่ข้อมูลเท็จปมปลูกกัญชา,https://www.antifakenewscenter.com/%e0%b8%9b-%e0%b8%9b-%e0%b8%aa-%e0%b8%a5%e0%b8%b8%e0%b8%a2%e0%b9%80%e0%b8%ad%e0%b8%b2%e0%b8%9c%e0%b8%b4%e0%b8%94%e0%b8%84%e0%b8%99%e0%b9%81%e0%b8%9e%e0%b8%a3%e0%b9%88%e0%b8%82%e0%b9%89%e0%b8%ad/
ความสงบและความมั่นคง,เคลื่อนย้ายรถถัง ลือรัฐประหาร,https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%a5%e0%b8%b7%e0%b8%ad%e0%b8%a3%e0%b8%b1%e0%b8%90%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%ab%e0%b8%b2%e0%b8%a3/
การเงิน-หุ้น,อนาคตใหม่ แจงข่าวปลอม ธนาธร ถือหุ้น PICNI,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%99%e0%b8%b2%e0%b8%84%e0%b8%95%e0%b9%83%e0%b8%ab%e0%b8%a1%e0%b9%88-%e0%b9%81%e0%b8%88%e0%b8%87%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1/
การเงิน-หุ้น,ข่าวปลอม!! ‘แบงก์ชาติ’ ปัดข่าวหนี้เสี่ยสวนทุเรียน 30 ล้าน,https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b9%81%e0%b8%9a%e0%b8%87%e0%b8%81%e0%b9%8c%e0%b8%8a%e0%b8%b2%e0%b8%95%e0%b8%b4/
ความสงบและความมั่นคง,“กกต.” โต้ข่าวปลอมถุงเมล์บัตรนอกราชฯ ขู่ฟันมือโพสต์-แชร์,https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%96%e0%b8%b8%e0%b8%87%e0%b9%80%e0%b8%a1%e0%b8%a5%e0%b9%8c%e0%b8%9a%e0%b8%b1%e0%b8%95%e0%b8%a3%e0%b8%af/
ยาเสพติด,คลายข้อสงสัยเกี่ยวกับกัญชา,https://www.antifakenewscenter.com/%e0%b8%84%e0%b8%a5%e0%b8%b2%e0%b8%a2%e0%b8%82%e0%b9%89%e0%b8%ad%e0%b8%aa%e0%b8%87%e0%b8%aa%e0%b8%b1%e0%b8%a2%e0%b8%81%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%b2/
การเงิน-หุ้น,เตือนภัย มิจฉาชีพร่อนอีเมลปลอมธนาคาร แจ้งรีเซตรหัสผ่าน-ยืนยันตัวตน ทำหลายคนเกือบหลงเชื่อ แต่โป๊ะแตก โลโก้-เนื้อหา มาจากธนาคารหนึ่ง แต่ลายน้ำกลับเป็นของอีกธนาคาร,https://www.antifakenewscenter.com/%e0%b9%80%e0%b8%95%e0%b8%b7%e0%b8%ad%e0%b8%99%e0%b8%a0%e0%b8%b1%e0%b8%a2-%e0%b8%a1%e0%b8%b4%e0%b8%88%e0%b8%89%e0%b8%b2%e0%b8%8a%e0%b8%b5%e0%b8%9e/
ข่าวอื่นๆ,เตือนระวังแอบอ้างแจกตั๋ว ‘บินไทย’ยันไม่ใช่เว็บในสังกัด,https://www.antifakenewscenter.com/%e0%b9%80%e0%b8%95%e0%b8%b7%e0%b8%ad%e0%b8%99%e0%b8%a3%e0%b8%b0%e0%b8%a7%e0%b8%b1%e0%b8%87%e0%b9%81%e0%b8%ad%e0%b8%9a%e0%b8%ad%e0%b9%89%e0%b8%b2%e0%b8%87/
ข่าวอื่นๆ,7-11 ไม่ได้แจกคูปอง 500 บาท,https://www.antifakenewscenter.com/7-11-%e0%b9%84%e0%b8%a1%e0%b9%88%e0%b9%84%e0%b8%94%e0%b9%89%e0%b9%81%e0%b8%88%e0%b8%81%e0%b8%84%e0%b8%b9%e0%b8%9b%e0%b8%ad%e0%b8%87-500/
การเงิน-หุ้น,อย่าเชื่อข่าวปลอม ฟองสบู่แตกรอบ 2 ตรวจสอบข้อมูล ก่อนเชื่อ หรือ แชร์,https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%9f%e0%b8%ad%e0%b8%87%e0%b8%aa%e0%b8%9a%e0%b8%b9%e0%b9%88%e0%b9%81%e0%b8%95%e0%b8%81%e0%b8%a3%e0%b8%ad%e0%b8%9a2/
